源表行号,任务名称,需求场景,PRD,自动创建子任务,关联项目,优先级,需求来源,需求状态,需求负责 PM,需求群,建群按钮,其他,推进版本（自动查询）,②版本开发计划-关联需求,项目汇总-项目关联需求（需求池中需求）,关联父任务,Epic,阶段,范围分级,验收标准,需求ID,依赖项,阻塞原因,来源类型补充,一期口径,是否MVP必需,负责人角色建议,事实来源,验收补充,风险与阻塞补充,本地来源文档,完善动作,本地MVP映射,AI执行判断,AI下一步动作,AI输出位置,AI验证方式,人工确认点
29,设备心跳和在线状态,根据心跳判断设备在线/离线,来源：六维达康项目资料；需求编号：REQ-028,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,设备接入,一期,一期必需,设备离线可阻断下单并告警,REQ-028,心跳周期、离线判定规则,,仓库MVP,30天MVP,是,设备,甲方设备,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,无新增阻塞；按补充验收执行。,MVP 设备模型,补离线阈值、lastHeartbeatAt、下单阻断,R28,可直接执行,按 R28 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
30,设备运行状态上报,平台知道设备空闲、出水中、故障、维护中等状态,来源：六维达康项目资料；需求编号：REQ-029,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,设备接入,一期,一期必需,扫码前可判断设备是否可用,REQ-029,状态字段、枚举定义,,设备技术方案,30天MVP,是,设备,甲方设备,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,无新增阻塞；按补充验收执行。,设备状态字段,补 online/offline/fault/maintenance/dispensing,"R15,R26",可直接执行,"按 R15,R26 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
31,平台下发开始出水指令,平台向设备下发开始出水指令，携带订单、设备、出水口、水种和计划水量,来源：六维达康项目资料；需求编号：REQ-030,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,出水指令、指令回执与实际水量,六维达康水站项目（需求池完善副本）,,出水控制,一期,一期必需,真实样机收到指令并开始出水,REQ-030,开始出水指令集、设备样机,,设备技术方案,30天MVP,是,后端,后端数据库,MVP 验收需覆盖成功 ACK、失败 ACK、超时、重复 ACK、错设备 ACK，并能在后台追溯订单到命令、ACK、审计日志。,无新增阻塞；按补充验收执行。,ACK 合同、状态机,MVP 为模拟 dispense command，真实开阀后置,"R8,R29",可直接执行,"按 R8,R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
32,平台下发停止出水指令,异常或用户取消时远程停止出水,来源：六维达康项目资料；需求编号：REQ-031,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,出水指令、指令回执与实际水量,六维达康水站项目（需求池完善副本）,,出水控制,一期,一期必需,设备收到停止指令后停止出水,REQ-031,停止出水指令、安全机制,,设备技术方案,商业一期,否,设备,甲方设备,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,阻塞：设备厂协议、样机、broker/topic/cert、命令与 ACK 语义未确认。,设备控制清单,补高风险远程停机/停止出水需要样机和协议确认,R29,可直接执行,按 R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
33,指令接收回执,平台知道设备是否收到指令,来源：六维达康项目资料；需求编号：REQ-032,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,出水指令、指令回执与实际水量,六维达康水站项目（需求池完善副本）,,出水控制,一期,一期必需,指令接收/拒绝/设备忙/失败可回传,REQ-032,回执协议、指令编号,,设备技术方案,30天MVP,是,后端,后端数据库,MVP 验收需覆盖成功 ACK、失败 ACK、超时、重复 ACK、错设备 ACK，并能在后台追溯订单到命令、ACK、审计日志。,无新增阻塞；按补充验收执行。,ACK 合同,补 accepted/rejected、commandId、messageId、鉴权,"R8,R29",可直接执行,"按 R8,R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
34,指令执行结果,平台知道设备执行是否成功、失败、超时或部分完成,来源：六维达康项目资料；需求编号：REQ-033,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,出水指令、指令回执与实际水量,六维达康水站项目（需求池完善副本）,,出水控制,一期,一期必需,订单状态可根据执行结果闭环,REQ-033,执行结果字段,,设备技术方案,30天MVP,是,后端,后端数据库,MVP 验收需覆盖成功 ACK、失败 ACK、超时、重复 ACK、错设备 ACK，并能在后台追溯订单到命令、ACK、审计日志。,无新增阻塞；按补充验收执行。,状态机,补 success/failed，timeout 由后端 worker 判定,"R5,R8,R29",可直接执行,"按 R5,R8,R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
35,实际出水量回传,获取实际出水量用于结算、对账和异常补偿,来源：六维达康项目资料；需求编号：REQ-034,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,出水指令、指令回执与实际水量,六维达康水站项目（需求池完善副本）,,出水控制,一期,一期必需,实际水量可关联订单和指令,REQ-034,流量计、实际水量字段、单位精度,,设备技术方案,30天MVP,是,设备,甲方设备,MVP 验收需覆盖成功 ACK、失败 ACK、超时、重复 ACK、错设备 ACK，并能在后台追溯订单到命令、ACK、审计日志。,无新增阻塞；按补充验收执行。,DeviceAck 模型,补 actualVolumeMl、单位毫升、真实流量计精度待确认,"R8,R29",可直接执行,"按 R8,R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
36,出水不足/超量异常,识别实际水量低于或高于计划水量的异常,来源：六维达康项目资料；需求编号：REQ-035,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"出水指令、指令回执与实际水量,订单流水、异常补偿与后台追溯",六维达康水站项目（需求池完善副本）,,出水控制,一期,一期必需,出水不足/超量进入异常订单或告警,REQ-035,实际水量、阈值规则,,正式PRD,商业一期,骨架,设备,甲方设备,MVP 只做失败/超时；真实补偿需支付和设备数据,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,出水控制、异常补偿,MVP 只做失败/超时；真实补偿需支付和设备数据,R29,可直接执行,按 R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
37,故障码字典,硬件提供故障码、含义、等级和处理建议,来源：六维达康项目资料；需求编号：REQ-036,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,设备异常,一期,一期必需,故障可转成用户提示、后台告警和是否允许下单,REQ-036,故障码清单,,设备技术方案,商业一期,骨架,设备,甲方设备,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,阻塞：设备厂协议、样机、broker/topic/cert、命令与 ACK 语义未确认。,设备厂清单,补 fault code、等级、用户提示、是否允许下单,R27,可直接执行,按 R27 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
38,故障阻断下单,严重故障时阻断用户取水,来源：六维达康项目资料；需求编号：REQ-037,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,设备异常,一期,一期必需,故障设备扫码时不可下单或提示不可用,REQ-037,故障等级、是否停机、是否允许下单,,正式PRD,30天MVP,是,后端,后端数据库,MVP 验收需覆盖成功 ACK、失败 ACK、超时、重复 ACK、错设备 ACK，并能在后台追溯订单到命令、ACK、审计日志。,无新增阻塞；按补充验收执行。,测试用例,补 DEVICE_FAULT、DEVICE_OFFLINE、DEVICE_BUSY,"R8,R15",可直接执行,"按 R8,R15 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
39,TDS 与水质展示,用户/运营方查看设备 TDS、水温、水箱等水质信息,来源：六维达康项目资料；需求编号：REQ-038,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,运维能力,一期,一期重要,能展示实时或最近水质数据；不支持则降级,REQ-038,TDS、水温、水箱字段,,设备技术方案,骨架方案,骨架,设备,甲方设备,补若硬件不支持则降级显示最近值或隐藏,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,设备状态字段,补若硬件不支持则降级显示最近值或隐藏,R26,可直接执行,按 R26 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
40,滤芯寿命和状态,运营方跟踪滤芯寿命和状态，提醒换芯,来源：六维达康项目资料；需求编号：REQ-039,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,运维能力,一期,一期重要,可查看滤芯状态并生成提醒,REQ-039,滤芯状态/寿命字段,,正式PRD,骨架方案,骨架,运维,飞书协作,补 filterLifePercent、换芯提醒，真实运维后置,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,运维方案,补 filterLifePercent、换芯提醒，真实运维后置,R26,可直接执行,按 R26 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
41,SIM 联网信息,运营方管理 SIM ICCID、运营商、信号强度等联网信息,来源：六维达康项目资料；需求编号：REQ-040,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,运维能力,一期,一期重要,后台可辅助排查设备离线,REQ-040,SIM 字段、运营商资料,,设备技术方案,商业一期,否,运维,飞书协作,补 ICCID、运营商、信号、激活、欠费阻塞,阻塞：设备厂协议、样机、broker/topic/cert、命令与 ACK 语义未确认。,设备厂清单,补 ICCID、运营商、信号、激活、欠费阻塞,R26,可直接执行,按 R26 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
42,断网补传和消息去重,处理设备断网期间的状态、结果和故障补传，避免重复订单或重复出水,来源：六维达康项目资料；需求编号：REQ-041,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,断网一致性,一期,一期重要,恢复联网后数据可去重和追溯,REQ-041,断网缓存、补传顺序、消息编号,,设备技术方案,商业一期,否,设备,后端数据库,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,阻塞：设备厂协议、样机、broker/topic/cert、命令与 ACK 语义未确认。,设备协议、ACK 幂等,补 messageId、idempotencyKey、迟到 ACK 只审计,"R8,R28",可直接执行,"按 R8,R28 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
43,微信小程序 JSAPI 支付,用户在小程序内完成微信支付,来源：六维达康项目资料；需求编号：REQ-042,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,微信支付、退款与分账闭环,六维达康水站项目（需求池完善副本）,,支付,一期,一期必需,可发起支付并收到成功回调,REQ-042,小程序 AppID、商户号、openid,,执行计划,商业一期,否,支付财务,微信支付,真实支付、退款、分账前必须完成商户号、证书、回调、验签、幂等、对账和审批规则评审；30 天 MVP 不真实扣款。,阻塞：微信商户号、证书、回调域名、退款权限、分账接收方和财务规则未确认。,支付执行计划,补商户号、AppID、证书、回调域名，MVP 不接,R30,可直接执行,按 R30 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
44,支付回调验签与幂等,可靠处理微信支付回调，避免重复到账,来源：六维达康项目资料；需求编号：REQ-043,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,微信支付、退款与分账闭环,六维达康水站项目（需求池完善副本）,,支付,一期,一期必需,回调验签成功，重复回调不重复入账,REQ-043,API v3 Key、证书、回调地址,,正式PRD,商业一期,否,支付财务,微信支付,真实支付、退款、分账前必须完成商户号、证书、回调、验签、幂等、对账和审批规则评审；30 天 MVP 不真实扣款。,阻塞：微信商户号、证书、回调域名、退款权限、分账接收方和财务规则未确认。,支付专项,补重复回调不重复入账、金额整数分、签名校验,"R30,R32",可直接执行,"按 R30,R32 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
45,退款和退款回调,对异常订单或用户取消进行退款并处理退款回调,来源：六维达康项目资料；需求编号：REQ-044,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,微信支付、退款与分账闭环,六维达康水站项目（需求池完善副本）,,支付,一期,一期必需,退款状态可追踪，退款回调幂等,REQ-044,退款权限、退款规则,,正式PRD,商业一期,否,支付财务,微信支付,真实支付、退款、分账前必须完成商户号、证书、回调、验签、幂等、对账和审批规则评审；30 天 MVP 不真实扣款。,阻塞：微信商户号、证书、回调域名、退款权限、分账接收方和财务规则未确认。,退款规则,补退款审批、逆向流转、幂等、对账,"R24,R30",可直接执行,"按 R24,R30 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
46,分账能力,将售水和配送收益按规则分账给机主、配送方或平台,来源：六维达康项目资料；需求编号：REQ-045,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,微信支付、退款与分账闭环,六维达康水站项目（需求池完善副本）,,支付,一期,一期必需,分账可发起、可查询、可对账,REQ-045,微信分账开通、接收方资料、比例规则,,正式PRD,商业一期,否,支付财务,微信支付,真实支付、退款、分账前必须完成商户号、证书、回调、验签、幂等、对账和审批规则评审；30 天 MVP 不真实扣款。,阻塞：微信商户号、证书、回调域名、退款权限、分账接收方和财务规则未确认。,四级分账,补售水/配送/广告分账分离，层级口径会议确认,R25,可直接执行,按 R25 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
47,售水分账,按设备/机主/平台规则分配售水收入,来源：六维达康项目资料；需求编号：REQ-046,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,微信支付、退款与分账闭环,六维达康水站项目（需求池完善副本）,,分账,一期,一期必需,售水订单可生成分账明细,REQ-046,分账比例、机主资料,,正式PRD,商业一期,否,支付财务,微信支付,真实支付、退款、分账前必须完成商户号、证书、回调、验签、幂等、对账和审批规则评审；30 天 MVP 不真实扣款。,阻塞：微信商户号、证书、回调域名、退款权限、分账接收方和财务规则未确认。,四级分账,补机主/平台/渠道比例、明细可追溯,R25,可直接执行,按 R25 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
48,配送分账,把配送费与水费分离并结算给配送相关方,来源：六维达康项目资料；需求编号：REQ-047,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,微信支付、退款与分账闭环,六维达康水站项目（需求池完善副本）,,分账,一期,一期必需,配送订单可单独计算配送费分账,REQ-047,配送费规则、配送员/配送方资料,,正式PRD,商业一期,否,支付财务,微信支付,真实支付、退款、分账前必须完成商户号、证书、回调、验签、幂等、对账和审批规则评审；30 天 MVP 不真实扣款。,阻塞：微信商户号、证书、回调域名、退款权限、分账接收方和财务规则未确认。,配送与水费分离,补水费与配送费分账分离、配送员不得直接扣费,R25,可直接执行,按 R25 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
49,测试样机和测试环境,真实样机连接测试环境完成联调,来源：六维达康项目资料；需求编号：REQ-048,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"联调验收、问题修复与上线演示,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,联调验收,一期,一期必需,至少 1 台真实设备接入测试环境,REQ-048,测试样机、测试密钥、环境地址,,正式PRD,商业一期,否,设备,甲方设备,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,阻塞：设备厂协议、样机、broker/topic/cert、命令与 ACK 语义未确认。,硬件联调要求,补样机、协议、测试 broker、测试密钥为前置阻塞,"R27,R29",可直接执行,"按 R27,R29 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
50,设备扫码取水全链路验收,验证扫码、下单、支付/权益、出水、回执、实际水量、订单流水全链路,来源：六维达康项目资料；需求编号：REQ-049,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,联调验收、问题修复与上线演示,六维达康水站项目（需求池完善副本）,,联调验收,一期,一期必需,真实样机闭环可演示、可追溯,REQ-049,设备、支付、订单、后台,,正式PRD,商业一期,否,测试,后端数据库,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,阻塞：设备厂协议、样机、broker/topic/cert、命令与 ACK 语义未确认。,联调验收,补真实样机闭环；MVP 对应模拟器验收,"R11,R29,R31",可直接执行,"按 R11,R29,R31 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/docs/mvp/；water-station/docs/ops/；测试证据记录,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
51,后台追溯验收,从订单追溯到设备、指令、回执、实际水量、告警和流水,来源：六维达康项目资料；需求编号：REQ-050,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"联调验收、问题修复与上线演示,订单流水、异常补偿与后台追溯",六维达康水站项目（需求池完善副本）,,联调验收,一期,一期必需,后台可完整追溯一笔取水订单,REQ-050,订单、设备指令、告警模型,,正式PRD,30天MVP,是,测试,后端数据库,MVP 验收需覆盖成功 ACK、失败 ACK、超时、重复 ACK、错设备 ACK，并能在后台追溯订单到命令、ACK、审计日志。,无新增阻塞；按补充验收执行。,后台看板、审计,补订单->命令->ACK->审计日志全链路,"R9,R10,R11,R31,R34",可直接执行,"按 R9,R10,R11,R31,R34 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/docs/mvp/；water-station/docs/ops/；测试证据记录,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
52,完整商城首页,用户进入健康产品商城浏览商品,来源：六维达康项目资料；需求编号：REQ-201,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,商城,二期,二期增强,可展示商品分类、详情、价格,REQ-201,商品体系、商城设计,,正式PRD,二期增强,否,产品,人工运营,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,商城入口跳转,标为后置，商业一期最多入口/跳转配置,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
53,商品订单,用户购买健康产品或商城商品,来源：六维达康项目资料；需求编号：REQ-202,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,商城,二期,二期增强,可下单、支付、查看订单,REQ-202,商品、库存、支付规则,,正式PRD,二期增强,否,产品,飞书协作,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,商城方案,标为二期，避免进入一期核心闭环,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
54,商品库存,平台管理商品库存、上下架和缺货状态,来源：六维达康项目资料；需求编号：REQ-203,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,商城,二期,二期增强,库存扣减和缺货提示正确,REQ-203,SKU 规则、库存策略,,正式PRD,二期增强,否,后台,后端数据库,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,商城功能表,标为二期，库存/售后后置,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
55,商城配送履约,配送端支持商城商品订单配送,来源：六维达康项目资料；需求编号：REQ-204,,六维达康水站项目（需求池完善副本）,P2,客户反馈,收集需求,,,建群,,,二期商城、健康与营销增强预留,六维达康水站项目（需求池完善副本）,,商城配送,二期,二期增强,商城订单可分配配送并签收,REQ-204,商城订单、前置仓、配送规则,,正式PRD,二期增强,否,配送,飞书协作,仅保留为后续范围；不得进入 30 天 MVP 主线，除非另开评审。,范围风险：后置能力不要误排进一期主线。,商城配送,和水配送区分，二期增强,R36,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
